Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
5102.576307,1.68E-12,0.0101774,98.2569222,3.03221E+18,1.94E+26,5.04E-01
5102.576307,1.68E-12,0.0101774,98.2569222,3.03221E+18,1.94E+26,5.04E-01
5100.182556,1.99E-12,0.0108701,91.99547382,2.83898E+18,2.02E+26,5.24E-01
5096.633816,1.47E-12,0.0127187,78.62438771,2.42635E+18,1.09E+26,2.83E-01
5095.983868,1.54E-12,0.0121084,82.58729477,2.54864E+18,1.26E+26,3.26E-01
5091.242938,1.63E-12,0.00940734,106.2999743,3.28042E+18,2.21E+26,5.74E-01
5088.427951,1.42E-12,0.00977404,102.3118383,3.15734E+18,1.78E+26,4.62E-01
5085.449168,1.68E-12,0.00939695,106.4175078,3.28404E+18,2.28E+26,5.94E-01
5083.690893,1.56E-12,0.0100941,99.06777226,3.05723E+18,1.84E+26,4.77E-01
5080.253224,1.48E-12,0.0110722,90.31628764,2.78716E+18,1.45E+26,3.77E-01
5079.925264,1.44E-12,0.00973016,102.7732329,3.17158E+18,1.81E+26,4.72E-01
5078.139152,1.10E-12,0.0111759,89.47825231,2.7613E+18,1.06E+26,2.75E-01
5074.17089,1.78E-12,0.00937041,106.7189162,3.29335E+18,2.42E+26,6.29E-01
5073.649783,1.32E-12,0.00967246,103.3863154,3.1905E+18,1.68E+26,4.38E-01
5073.264006,1.35E-12,0.0107531,92.99643824,2.86987E+18,1.40E+26,3.63E-01
5071.396432,1.33E-12,0.0103403,96.70899297,2.98444E+18,1.49E+26,3.86E-01
5071.373546,1.31E-12,0.00856513,116.7524603,3.60298E+18,2.14E+26,5.55E-01
5071.340412,1.53E-12,0.00902302,110.8276386,3.42014E+18,2.25E+26,5.86E-01
5067.507462,1.49E-12,0.0104162,96.00430099,2.96269E+18,1.65E+26,4.28E-01
5067.443369,1.40E-12,0.00919239,108.7856368,3.35712E+18,1.99E+26,5.17E-01
5067.379485,1.19E-12,0.0110918,90.15669233,2.78224E+18,1.16E+26,3.02E-01
5057.728679,1.39E-12,0.0106276,94.09462155,2.90376E+18,1.47E+26,3.82E-01
5056.062809,1.59E-12,0.011428,87.50437522,2.70039E+18,1.46E+26,3.79E-01
5054.03645,1.58E-12,0.0105995,94.34407283,2.91146E+18,1.68E+26,4.38E-01
5051.217915,1.16E-12,0.00910307,109.8530496,3.39007E+18,1.67E+26,4.35E-01
5049.702372,1.63E-12,0.0111122,89.99118086,2.77713E+18,1.58E+26,4.11E-01
5046.90769,1.14E-12,0.00982241,101.8080084,3.1418E+18,1.41E+26,3.66E-01
5045.330228,1.56E-12,0.0108389,92.26028472,2.84715E+18,1.59E+26,4.12E-01
5044.952598,1.42E-12,0.00952655,104.9697949,3.23937E+18,1.87E+26,4.86E-01
5044.852128,1.57E-12,0.0110214,90.73257481,2.80001E+18,1.54E+26,4.01E-01
5044.828736,1.39E-12,0.011496,86.98677801,2.68441E+18,1.26E+26,3.28E-01
5039.284491,1.52E-12,0.00981662,101.8680564,3.14365E+18,1.88E+26,4.90E-01
5032.371848,1.76E-12,0.00994194,100.5839906,3.10402E+18,2.14E+26,5.55E-01
5023.86529,1.50E-12,0.0115162,86.83419878,2.6797E+18,1.35E+26,3.52E-01
5017.962667,1.08E-12,0.00920015,108.69388,3.35429E+18,1.52E+26,3.96E-01
5017.962616,1.08E-12,0.00851081,117.4976295,3.62598E+18,1.78E+26,4.62E-01
5017.962567,1.09E-12,0.0103639,96.48877353,2.97764E+18,1.21E+26,3.15E-01
5010.352761,1.29E-12,0.0123767,80.79698142,2.49339E+18,1.01E+26,2.63E-01
4996.30954,1.25E-12,0.0102166,97.87992091,3.02057E+18,1.43E+26,3.72E-01
4995.551274,1.50E-12,0.0106223,94.14157009,2.90521E+18,1.59E+26,4.14E-01
4993.827488,1.32E-12,0.00840492,118.977932,3.67166E+18,2.23E+26,5.80E-01
4993.381672,1.15E-12,0.00922695,108.3781748,3.34455E+18,1.61E+26,4.20E-01
4991.282804,1.15E-12,0.00784629,127.4487688,3.93307E+18,2.24E+26,5.83E-01
4988.796674,1.68E-12,0.0110004,90.90578524,2.80535E+18,1.66E+26,4.32E-01
4984.188202,1.24E-12,0.00954114,104.8092786,3.23441E+18,1.63E+26,4.24E-01
4983.869502,1.37E-12,0.0100242,99.75858423,3.07855E+18,1.63E+26,4.24E-01
4981.023592,1.07E-12,0.0109499,91.32503493,2.81829E+18,1.07E+26,2.78E-01
4974.19912,1.11E-12,0.0093308,107.1719467,3.30733E+18,1.52E+26,3.96E-01
4972.726525,1.33E-12,0.0108486,92.17779253,2.84461E+18,1.35E+26,3.51E-01
4970.880223,1.10E-12,0.010882,91.89487227,2.83588E+18,1.11E+26,2.90E-01
4967.599226,1.15E-12,0.00978523,102.1948385,3.15373E+18,1.44E+26,3.74E-01
4964.653789,1.24E-12,0.0122988,81.30874557,2.50919E+18,9.80E+25,2.55E-01
4962.117828,1.63E-12,0.0113654,87.98634452,2.71526E+18,1.51E+26,3.92E-01
4959.759548,1.56E-12,0.0103034,97.05534096,2.99513E+18,1.76E+26,4.58E-01
4956.510816,1.02E-12,0.00987669,101.2484952,3.12453E+18,1.26E+26,3.26E-01
4956.504626,9.84E-13,0.00821045,121.7960039,3.75862E+18,1.75E+26,4.54E-01
4950.12907,3.02E-11,0.00839506,119.1176716,3.67597E+18,5.12E+27,1.33E+01
4942.81148,9.82E-13,0.00923069,108.3342632,3.3432E+18,1.38E+26,3.59E-01
4942.074214,1.09E-12,0.00990917,100.9166257,3.11429E+18,1.33E+26,3.47E-01
4937.002898,1.41E-12,0.01166,85.76329331,2.64666E+18,1.24E+26,3.23E-01
4936.890698,1.00E-12,0.0088686,112.7573687,3.47969E+18,1.53E+26,3.97E-01
4936.533456,1.11E-12,0.0101579,98.44554485,3.03803E+18,1.29E+26,3.34E-01
4935.160578,1.20E-12,0.0117951,84.78096837,2.61634E+18,1.03E+26,2.69E-01
4934.905606,2.60E-11,0.00933415,107.133483,3.30614E+18,3.57E+27,9.29E+00
4932.893407,9.76E-13,0.0093391,107.076699,3.30439E+18,1.34E+26,3.48E-01
4932.891919,9.85E-13,0.0100901,99.10704552,3.05844E+18,1.16E+26,3.01E-01
4932.69943,1.19E-12,0.0112728,88.7091051,2.73756E+18,1.12E+26,2.92E-01
4931.023898,9.29E-13,0.0105298,94.9685654,2.93073E+18,1.00E+26,2.61E-01
4930.670308,1.10E-12,0.0110316,90.64868197,2.79742E+18,1.08E+26,2.81E-01
4930.194375,1.18E-12,0.0108098,92.50864956,2.85482E+18,1.20E+26,3.13E-01
4925.208132,1.05E-12,0.00876131,114.1381825,3.5223E+18,1.64E+26,4.27E-01
4924.519154,1.07E-12,0.00983549,101.6726162,3.13762E+18,1.33E+26,3.46E-01
4919.559612,1.09E-12,0.0105587,94.7086289,2.92271E+18,1.17E+26,3.05E-01
4917.42213,1.27E-12,0.0109175,91.59606137,2.82665E+18,1.27E+26,3.31E-01
4914.338121,1.30E-12,0.0109908,90.98518761,2.8078E+18,1.28E+26,3.34E-01
4914.290337,1.15E-12,0.0106402,93.9831958,2.90032E+18,1.21E+26,3.15E-01
4914.113726,1.20E-12,0.0104184,95.98402826,2.96207E+18,1.33E+26,3.45E-01
4914.088094,1.12E-12,0.0100508,99.4945676,3.0704E+18,1.33E+26,3.45E-01
4912.236604,1.10E-12,0.0097987,102.0543541,3.1494E+18,1.37E+26,3.57E-01
4908.048476,1.30E-12,0.0082033,121.9021613,3.7619E+18,2.32E+26,6.03E-01
4900.659836,1.38E-12,0.0108475,92.18713989,2.8449E+18,1.41E+26,3.66E-01
4898.738617,1.33E-12,0.0107615,92.92384891,2.86763E+18,1.38E+26,3.58E-01
4898.303573,1.10E-12,0.0110903,90.16888632,2.78261E+18,1.07E+26,2.79E-01
4896.745006,9.39E-13,0.0085831,116.5080216,3.59544E+18,1.53E+26,3.97E-01
4889.788051,1.00E-12,0.00857776,116.5805525,3.59768E+18,1.63E+26,4.24E-01
4889.510631,1.17E-12,0.00985102,101.5123307,3.13267E+18,1.45E+26,3.76E-01
4887.55547,1.10E-12,0.0101099,98.91294672,3.05245E+18,1.28E+26,3.34E-01
4886.968839,9.51E-13,0.00883283,113.2139982,3.49378E+18,1.46E+26,3.79E-01
